stime,etime,mlat,mlon,mlt
2015-10-05 11:00:32,2015-10-05 12:00:14,76.7041,-19.8449,5.56391
2015-10-05 09:30:23,2015-10-05 10:30:05,55.9484,-31.2397,3.27306
2015-10-05 09:30:23,2015-10-05 10:30:05,56.7508,-31.4794,3.25708
2015-10-05 09:30:23,2015-10-05 10:30:05,57.1468,-31.5966,3.24926
2015-10-05 08:30:23,2015-10-05 09:30:05,58.3195,-31.943,2.22516
2015-10-05 09:30:23,2015-10-05 10:30:05,58.3195,-31.943,3.22617
2015-10-05 09:30:23,2015-10-05 10:30:05,56.0031,-30.3604,3.33168
2015-10-05 10:30:23,2015-10-05 11:30:05,56.816,-30.4988,4.34287
2015-10-05 09:30:23,2015-10-05 10:30:05,57.2171,-30.5635,3.31814
2015-10-05 08:30:23,2015-10-05 09:30:05,58.011,-30.6864,2.30893
2015-10-05 09:30:23,2015-10-05 10:30:05,56.0139,-28.5841,3.4501
2015-10-05 10:30:23,2015-10-05 11:30:05,58.4455,-28.3272,4.48764
2015-10-07 21:30:24,2015-10-07 22:30:06,65.0909,-41.3586,14.5543
2015-10-07 12:00:41,2015-10-07 13:00:23,64.6637,-62.2206,3.75784
2015-10-07 12:00:41,2015-10-07 13:00:23,65.0561,-62.2384,3.75666
2015-10-07 12:00:41,2015-10-07 13:00:23,65.1397,-60.1033,3.899
2015-10-07 08:30:28,2015-10-07 09:30:10,53.2451,-7.1532,3.89249
2015-10-07 08:30:28,2015-10-07 09:30:10,53.2113,-6.97986,3.90404
2015-10-07 09:30:28,2015-10-07 10:30:10,53.2113,-6.97986,4.90436
2015-10-07 08:30:28,2015-10-07 09:30:10,53.9217,-7.91306,3.84183
2015-10-07 08:30:28,2015-10-07 09:30:10,54.2683,-8.38071,3.81065
2015-10-07 08:30:28,2015-10-07 09:30:10,54.61,-8.85043,3.77934
2015-10-07 08:30:28,2015-10-07 09:30:10,56.2594,-11.2541,3.61909
2015-10-07 08:00:35,2015-10-07 09:00:17,76.7014,-24.0947,2.27451
2015-10-07 08:00:35,2015-10-07 09:00:17,76.9752,-24.2489,2.26423
2015-10-07 08:00:35,2015-10-07 09:00:17,77.0018,-22.7062,2.36708
2015-10-07 08:00:35,2015-10-07 09:00:17,77.2361,-19.3986,2.58758
2015-10-07 06:00:35,2015-10-07 07:00:17,78.8096,-17.8391,0.714032
2015-10-07 11:30:23,2015-10-07 12:30:05,60.238,-32.5204,5.23637
2015-10-07 09:30:23,2015-10-07 10:30:05,57.615,-30.6254,3.32658
2015-10-07 09:30:23,2015-10-07 10:30:05,57.6473,-28.4316,3.47284
2015-10-08 01:02:00,2015-10-08 02:01:42,76.2083,-77.3668,15.6828
2015-10-08 04:02:00,2015-10-08 05:01:42,75.9836,-23.7968,22.319
2015-10-08 05:02:00,2015-10-08 06:01:42,78.041,-25.0905,23.2445
2015-10-08 07:02:00,2015-10-08 08:01:42,76.0037,-22.6471,1.42233
2015-10-08 04:02:00,2015-10-08 05:01:42,76.3721,-22.6607,22.3947
2015-10-08 07:02:00,2015-10-08 08:01:42,76.3721,-22.6606,1.42143
2015-10-08 04:02:00,2015-10-08 05:01:42,77.2634,-22.7381,22.3896
2015-10-08 07:02:00,2015-10-08 08:01:42,77.7517,-22.8116,1.41137
2015-10-08 07:02:00,2015-10-08 08:01:42,75.9874,-20.3488,1.57555
2015-10-09 05:00:45,2015-10-09 06:00:27,76.6947,-78.9711,19.6374
2015-10-09 05:03:57,2015-10-09 06:03:39,76.0035,-22.6468,23.4467
2015-10-09 04:03:57,2015-10-09 05:03:39,75.9872,-20.3486,22.5865
2015-10-11 02:00:38,2015-10-11 03:00:20,64.6634,-62.2193,17.7167
2015-10-11 04:00:38,2015-10-11 05:00:20,64.6634,-62.2193,19.7492
2015-10-11 04:00:38,2015-10-11 05:00:20,64.2963,-61.6051,19.7901
2015-10-11 02:00:38,2015-10-11 03:00:20,64.7084,-61.5686,17.7601
2015-10-11 02:00:38,2015-10-11 03:00:20,65.1045,-61.5247,17.763
2015-10-11 04:00:38,2015-10-11 05:00:20,64.3264,-60.4272,19.8686
2015-10-11 02:00:38,2015-10-11 03:00:20,64.7412,-60.2691,17.8467
2015-10-11 02:30:25,2015-10-11 03:30:07,53.5085,-10.4967,21.6782
2015-10-11 02:30:25,2015-10-11 03:30:07,54.0931,-11.6429,21.6017
2015-10-11 02:30:25,2015-10-11 03:30:07,54.3779,-12.2212,21.5632
2015-10-11 02:30:25,2015-10-11 03:30:07,52.8608,-8.34147,21.8218
2015-10-11 02:30:25,2015-10-11 03:30:07,52.8171,-8.22203,21.8298
2015-10-11 02:30:25,2015-10-11 03:30:07,53.4697,-9.29478,21.7583
2015-10-11 02:30:25,2015-10-11 03:30:07,53.7866,-9.83277,21.7224
2015-10-11 02:30:25,2015-10-11 03:30:07,54.7068,-11.4639,21.6137
2015-10-11 02:30:25,2015-10-11 03:30:07,55.28,-9.79843,21.7247
2015-10-11 03:00:41,2015-10-11 04:00:23,83.8844,-72.4182,18.0644
2015-10-11 04:00:41,2015-10-11 05:00:23,84.2959,-71.3404,19.1419
2015-10-11 04:00:41,2015-10-11 05:00:23,84.7038,-70.1001,19.2246
2015-10-11 04:00:41,2015-10-11 05:00:23,85.1077,-68.6582,19.3207
2015-10-11 04:00:41,2015-10-11 05:00:23,85.5069,-66.9628,19.4338
2015-10-11 04:00:41,2015-10-11 05:00:23,82.9739,-69.5152,19.2636
2015-10-11 04:00:41,2015-10-11 05:00:23,83.3781,-68.2354,19.3489
2015-10-11 04:00:41,2015-10-11 05:00:23,83.7772,-66.7955,19.4449
2015-10-11 04:00:41,2015-10-11 05:00:23,84.5572,-63.3067,19.6775
2015-10-11 02:00:41,2015-10-11 03:00:23,85.3061,-58.7037,17.9519
2015-10-11 03:00:41,2015-10-11 04:00:23,87.1648,-31.3973,20.7991
2015-10-11 02:00:41,2015-10-11 03:00:23,81.4515,-65.905,17.4718
2015-10-11 04:00:41,2015-10-11 05:00:23,82.5849,-61.0151,19.8303
2015-10-11 03:00:41,2015-10-11 04:00:23,83.2948,-56.8985,19.0991
2015-10-11 03:00:41,2015-10-11 04:00:23,83.6328,-54.5134,19.2581
2015-10-11 02:00:41,2015-10-11 03:00:23,83.9575,-51.8735,18.4073
2015-10-11 03:00:41,2015-10-11 04:00:23,84.267,-48.9482,19.6291
2015-10-11 04:00:41,2015-10-11 05:00:23,84.267,-48.9482,20.6347
2015-10-11 02:00:32,2015-10-11 03:00:14,83.1882,-29.8181,19.875
2015-10-11 02:00:32,2015-10-11 03:00:14,83.2843,-23.3476,20.3064
2015-10-11 02:00:53,2015-10-11 03:00:35,80.9312,-39.7459,19.2192
2015-10-11 02:00:53,2015-10-11 03:00:35,81.6268,-49.4367,18.5732
2015-10-11 02:00:53,2015-10-11 03:00:35,81.4798,-52.227,18.3872
2015-10-11 02:00:53,2015-10-11 03:00:35,81.1303,-57.483,18.0368
2015-10-11 03:30:23,2015-10-11 04:30:05,57.4559,-25.6646,21.6799
2015-10-14 03:30:43,2015-10-14 04:30:25,54.6574,-12.803,22.5549
2015-10-15 23:00:02,2015-10-15 23:59:44,68.1685,-38.7566,16.1981
2015-10-15 23:00:02,2015-10-15 23:59:44,69.3779,-37.9819,16.2497
2015-10-18 10:00:23,2015-10-18 11:00:05,55.4712,-14.5782,4.97548
2015-10-18 11:00:23,2015-10-18 12:00:05,55.9941,-15.7895,5.93107
2015-10-18 10:00:23,2015-10-18 11:00:05,56.2571,-11.2519,5.19724
2015-10-18 12:00:23,2015-10-18 13:00:05,57.6212,-143.594,22.4332
2015-10-18 12:00:23,2015-10-18 13:00:05,56.6296,-141.783,22.5539
2015-10-18 12:00:23,2015-10-18 13:00:05,57.0378,-141.746,22.5564
2015-10-18 12:00:23,2015-10-18 13:00:05,57.4462,-141.709,22.5588
2015-10-18 12:00:23,2015-10-18 13:00:05,56.062,-138.354,22.7826
2015-10-18 12:00:23,2015-10-18 13:00:05,56.4547,-138.207,22.7923
2015-10-18 12:00:23,2015-10-18 13:00:05,56.8475,-138.06,22.8022
2015-10-18 12:00:23,2015-10-18 13:00:05,57.6335,-137.76,22.8221
